entrez_id,u_symbol
269,AMHR2
270,AMPD1
271,AMPD2
272,AMPD3
273,AMPH
274,BIN1
275,AMT
276,AMY1A
277,AMY1B
278,AMY1C
279,AMY2A
280,AMY2B
283,ANG
284,ANGPT1
285,ANGPT2
286,ANK1
287,ANK2
288,ANK3
290,ANPEP
291,SLC25A4
292,SLC25A5
293,SLC25A6
301,ANXA1
302,ANXA2
306,ANXA3
307,ANXA4
308,ANXA5
309,ANXA6
310,ANXA7
311,ANXA11
312,ANXA13
313,AOAH
314,AOC2
316,AOX1
317,APAF1
318,NUDT2
319,APOF
320,APBA1
321,APBA2
322,APBB1
323,APBB2
324,APC
325,APCS
326,AIRE
327,APEH
328,APEX1
329,BIRC2
330,BIRC3
331,XIAP
332,BIRC5
333,APLP1
334,APLP2
335,APOA1
336,APOA2
337,APOA4
338,APOB
339,APOBEC1
341,APOC1
343,AQP8
344,APOC2
345,APOC3
346,APOC4
347,APOD
348,APOE
350,APOH
351,APP
353,APRT
354,KLK3
355,FAS
356,FASLG
357,SHROOM2
358,AQP1
359,AQP2
360,AQP3
361,AQP4
362,AQP5
363,AQP6
364,AQP7
366,AQP9
367,AR
368,ABCC6
369,ARAF
372,ARCN1
373,TRIM23
374,AREG
375,ARF1
377,ARF3
378,ARF4
379,ARL4D
381,ARF5
382,ARF6
383,ARG1
384,ARG2
387,RHOA
388,RHOB
389,RHOC
390,RND3
391,RHOG
392,ARHGAP1
393,ARHGAP4
394,ARHGAP5
395,ARHGAP6
396,ARHGDIA
397,ARHGDIB
398,ARHGDIG
399,RHOH
400,ARL1
401,PHOX2A
402,ARL2
403,ARL3
405,ARNT
406,ARNTL
407,ARR3
408,ARRB1
409,ARRB2
410,ARSA
411,ARSB
412,STS
414,ARSD
415,ARSE
416,ARSF
417,ART1
419,ART3
420,ART4
421,ARVCF
427,ASAH1
429,ASCL1
430,ASCL2
432,ASGR1
433,ASGR2
434,ASIP
435,ASL
438,ASMT
439,ASNA1
440,ASNS
443,ASPA
444,ASPH
445,ASS1
460,ASTN1
462,SERPINC1
463,ZFHX3
466,ATF1
467,ATF3
468,ATF4
471,ATIC
472,ATM
473,RERE
474,ATOH1
475,ATOX1
476,ATP1A1
477,ATP1A2
478,ATP1A3
479,ATP12A
480,ATP1A4
481,ATP1B1
482,ATP1B2
483,ATP1B3
486,FXYD2
487,ATP2A1
488,ATP2A2
489,ATP2A3
490,ATP2B1
491,ATP2B2
492,ATP2B3
493,ATP2B4
495,ATP4A
496,ATP4B
498,ATP5F1A
501,ALDH7A1
506,ATP5F1B
509,ATP5F1C
513,ATP5F1D
514,ATP5F1E
515,ATP5PB
516,ATP5MC1
517,ATP5MC2
518,ATP5MC3
521,ATP5ME
522,ATP5PF
523,ATP6V1A
525,ATP6V1B1
526,ATP6V1B2
527,ATP6V0C
528,ATP6V1C1
529,ATP6V1E1
533,ATP6V0B
534,ATP6V1G2
535,ATP6V0A1
537,ATP6AP1
538,ATP7A
539,ATP5PO
540,ATP7B
545,ATR
546,ATRX
547,KIF1A
549,AUH
550,AUP1
551,AVP
552,AVPR1A
553,AVPR1B
554,AVPR2
558,AXL
563,AZGP1
566,AZU1
567,B2M
570,BAAT
571,BACH1
572,BAD
573,BAG1
574,BAGE
575,ADGRB1
576,ADGRB2
577,ADGRB3
578,BAK1
579,NKX3-2
580,BARD1
581,BAX
582,BBS1
583,BBS2
585,BBS4
586,BCAT1
587,BCAT2
590,BCHE
593,BCKDHA
594,BCKDHB
595,CCND1
596,BCL2
597,BCL2A1
598,BCL2L1
599,BCL2L2
602,BCL3
604,BCL6
605,BCL7A
607,BCL9
608,TNFRSF17
610,HCN2
611,OPN1SW
613,BCR
617,BCS1L
622,BDH1
623,BDKRB1
624,BDKRB2
627,BDNF
629,CFB
631,BFSP1
632,BGLAP
633,BGN
634,CEACAM1
635,BHMT
636,BICD1
637,BID
638,BIK
639,PRDM1
640,BLK
641,BLM
642,BLMH
643,CXCR5
644,BLVRA
645,BLVRB
646,BNC1
648,BMI1
649,BMP1
650,BMP2
651,BMP3
652,BMP4
653,BMP5
654,BMP6
655,BMP7
656,BMP8B
657,BMPR1A
658,BMPR1B
659,BMPR2
660,BMX
661,POLR3D
662,BNIP1
663,BNIP2
664,BNIP3
665,BNIP3L
666,BOK
667,DST
668,FOXL2
669,BPGM
670,BPHL
671,BPI
672,BRCA1
673,BRAF
675,BRCA2
676,BRDT
677,ZFP36L1
678,ZFP36L2
680,BRS3
682,BSG
683,BST1
684,BST2
685,BTC
686,BTD
687,KLF9
688,KLF5
689,BTF3
694,BTG1
695,BTK
696,BTN1A1
699,BUB1
701,BUB1B
705,BYSL
706,TSPO
708,C1QBP
710,SERPING1
712,C1QA
713,C1QB
714,C1QC
715,C1R
716,C1S
717,C2
718,C3
719,C3AR1
720,C4A
721,C4B
722,C4BPA
725,C4BPB
726,CAPN5
727,C5
728,C5AR1
729,C6
730,C7
731,C8A
732,C8B
733,C8G
734,OSGIN2
735,C9
738,VPS51
740,MRPL49
741,ZNHIT2
744,MPPED2
745,MYRF
746,TMEM258
747,DAGLA
752,FMNL1
753,LDLRAD4
754,PTTG1IP
755,C21ORF2
757,TMEM50B
758,MPPED1
759,CA1
760,CA2
761,CA3
762,CA4
763,CA5A
765,CA6
766,CA7
767,CA8
768,CA9
770,CA11
771,CA12
773,CACNA1A
774,CACNA1B
775,CACNA1C
776,CACNA1D
777,CACNA1E
778,CACNA1F
779,CACNA1S
780,DDR1
781,CACNA2D1
782,CACNB1
783,CACNB2
784,CACNB3
785,CACNB4
786,CACNG1
788,SLC25A20
790,CAD
793,CALB1
794,CALB2
795,S100G
796,CALCA
797,CALCB
799,CALCR
800,CALD1
801,CALM1
805,CALM2
808,CALM3
810,CALML3
811,CALR
813,CALU
814,CAMK4
815,CAMK2A
816,CAMK2B
817,CAMK2D
818,CAMK2G
819,CAMLG
820,CAMP
821,CANX
822,CAPG
823,CAPN1
824,CAPN2
825,CAPN3
826,CAPNS1
827,CAPN6
828,CAPS
829,CAPZA1
830,CAPZA2
831,CAST
832,CAPZB
833,CARS
834,CASP1
835,CASP2
836,CASP3
837,CASP4
838,CASP5
839,CASP6
840,CASP7
841,CASP8
842,CASP9
843,CASP10
844,CASQ1
845,CASQ2
846,CASR
847,CAT
857,CAV1
858,CAV2
859,CAV3
860,RUNX2
861,RUNX1
862,RUNX1T1
863,CBFA2T3
864,RUNX3
865,CBFB
866,SERPINA6
867,CBL
868,CBLB
869,CBLN1
871,SERPINH1
873,CBR1
874,CBR3
875,CBS
881,CCIN
883,KYAT1
885,CCK
886,CCKAR
887,CCKBR
889,KRIT1
890,CCNA2
891,CCNB1
892,CCNC
894,CCND2
896,CCND3
898,CCNE1
899,CCNF
900,CCNG1
901,CCNG2
902,CCNH
904,CCNT1
905,CCNT2
908,CCT6A
909,CD1A
910,CD1B
911,CD1C
912,CD1D
913,CD1E
914,CD2
915,CD3D
916,CD3E
917,CD3G
919,CD247
920,CD4
921,CD5
922,CD5L
923,CD6
924,CD7
925,CD8A
926,CD8B
928,CD9
929,CD14
930,CD19
931,MS4A1
932,MS4A3
933,CD22
939,CD27
940,CD28
941,CD80
942,CD86
943,TNFRSF8
944,TNFSF8
945,CD33
946,SIGLEC6
947,CD34
948,CD36
949,SCARB1
950,SCARB2
951,CD37
952,CD38
953,ENTPD1
954,ENTPD2
955,ENTPD6
956,ENTPD3
957,ENTPD5
958,CD40
959,CD40LG
960,CD44
961,CD47
962,CD48
963,CD53
965,CD58
966,CD59
967,CD63
968,CD68
969,CD69
970,CD70
971,CD72
972,CD74
973,CD79A
974,CD79B
975,CD81
976,ADGRE5
977,CD151
978,CDA
983,CDK1
984,CDK11B
987,LRBA
988,CDC5L
989,SEPT7
990,CDC6
991,CDC20
993,CDC25A
994,CDC25B
995,CDC25C
996,CDC27
997,CDC34
998,CDC42
999,CDH1
1000,CDH2
1001,CDH3
1002,CDH4
1003,CDH5
1004,CDH6
1005,CDH7
1006,CDH8
1007,CDH9
1008,CDH10
1009,CDH11
1010,CDH12
1012,CDH13
1013,CDH15
1014,CDH16
1015,CDH17
1016,CDH18
1017,CDK2
1018,CDK3
1019,CDK4
1020,CDK5
1021,CDK6
1022,CDK7
1024,CDK8
1025,CDK9
1026,CDKN1A
1027,CDKN1B
1028,CDKN1C
1029,CDKN2A
1030,CDKN2B
1031,CDKN2C
1032,CDKN2D
1033,CDKN3
1036,CDO1
1038,CDR1
1039,CDR2
1040,CDS1
1041,CDSN
1043,CD52
1044,CDX1
1045,CDX2
1046,CDX4
1047,CLGN
1048,CEACAM5
1050,CEBPA
1051,CEBPB
1052,CEBPD
1053,CEBPE
1054,CEBPG
1056,CEL
1058,CENPA
1059,CENPB
1060,CENPC
1062,CENPE
1063,CENPF
1066,CES1
1068,CETN1
1069,CETN2
1070,CETN3
1071,CETP
1072,CFL1
1073,CFL2
1075,CTSC
1080,CFTR
1081,CGA
1082,CGB3
1084,CEACAM3
1087,CEACAM7
1088,CEACAM8
1089,CEACAM4
1101,CHAD
1102,RCBTB2
1103,CHAT
1104,RCC1
1105,CHD1
1106,CHD2
1107,CHD3
1108,CHD4
1109,AKR1C4
1111,CHEK1
1112,FOXN3
1113,CHGA
1114,CHGB
1116,CHI3L1
1117,CHI3L2
1118,CHIT1
1119,CHKA
1120,CHKB
1121,CHM
1122,CHML
1123,CHN1
1124,CHN2
1128,CHRM1
1129,CHRM2
1130,LYST
1131,CHRM3
1132,CHRM4
1133,CHRM5
1134,CHRNA1
1135,CHRNA2
1136,CHRNA3
1137,CHRNA4
1138,CHRNA5
1139,CHRNA7
1140,CHRNB1
1141,CHRNB2
1142,CHRNB3
1143,CHRNB4
1144,CHRND
1145,CHRNE
1146,CHRNG
1147,CHUK
1149,CIDEA
1152,CKB
1153,CIRBP
1154,CISH
1155,TBCB
1158,CKM
1159,CKMT1B
1160,CKMT2
1161,ERCC8
1163,CKS1B
1164,CKS2
1173,AP2M1
1174,AP1S1
1175,AP2S1
1176,AP3S1
1178,CLC
1179,CLCA1
1180,CLCN1
1181,CLCN2
1182,CLCN3
1183,CLCN4
1184,CLCN5
1185,CLCN6
1186,CLCN7
1187,CLCNKA
1188,CLCNKB
1191,CLU
1192,CLIC1
1193,CLIC2
1195,CLK1
1196,CLK2
1198,CLK3
1200,TPP1
1201,CLN3
1203,CLN5
1207,CLNS1A
1208,CLPS
1209,CLPTM1
1211,CLTA
1212,CLTB
1213,CLTC
1215,CMA1
1230,CCR1
1232,CCR3
1233,CCR4
1234,CCR5
1235,CCR6
1236,CCR7
1237,CCR8
1238,ACKR2
1240,CMKLR1
1241,LTB4R
1244,ABCC2
1258,CNGB1
1259,CNGA1
1260,CNGA2
1261,CNGA3
1262,CNGA4
1263,PLK3
1264,CNN1
1265,CNN2
1266,CNN3
1267,CNP
1268,CNR1
1269,CNR2
1270,CNTF
1271,CNTFR
1272,CNTN1
1277,COL1A1
1278,COL1A2
1280,COL2A1
1281,COL3A1
1282,COL4A1
1284,COL4A2
1285,COL4A3
1286,COL4A4
1287,COL4A5
1288,COL4A6
1289,COL5A1
1290,COL5A2
1291,COL6A1
1292,COL6A2
1293,COL6A3
1294,COL7A1
1295,COL8A1
1296,COL8A2
1297,COL9A1
1298,COL9A2
1299,COL9A3
1300,COL10A1
1301,COL11A1
1302,COL11A2
1303,COL12A1
1305,COL13A1
1306,COL15A1
1307,COL16A1
1308,COL17A1
1310,COL19A1
1311,COMP
1312,COMT
1314,COPA
1315,COPB1
1316,KLF6
1317,SLC31A1
1318,SLC31A2
1325,CORT
1326,MAP3K8
1327,COX4I1
1329,COX5B
1337,COX6A1
1339,COX6A2
1340,COX6B1
1345,COX6C
1346,COX7A1
1347,COX7A2
1349,COX7B
1350,COX7C
1351,COX8A
1352,COX10
1353,COX11
1355,COX15
1356,CP
1357,CPA1
1358,CPA2
1359,CPA3
1360,CPB1
1361,CPB2
1362,CPD
1363,CPE
1364,CLDN4
1365,CLDN3
1366,CLDN7
1368,CPM
1369,CPN1
1370,CPN2
1371,CPOX
1373,CPS1
1374,CPT1A
1375,CPT1B
1376,CPT2
1378,CR1
1379,CR1L
1380,CR2
1381,CRABP1
1382,CRABP2
1384,CRAT
1385,CREB1
1386,ATF2
1387,CREBBP
1388,ATF6B
1389,CREBL2
1390,CREM
1392,CRH
1393,CRHBP
1394,CRHR1
1395,CRHR2
1396,CRIP1
1397,CRIP2
1398,CRK
1399,CRKL
1400,CRMP1
1401,CRP
1404,HAPLN1
1406,CRX
1407,CRY1
1408,CRY2
1409,CRYAA
1410,CRYAB
1411,CRYBA1
1412,CRYBA2
1413,CRYBA4
1414,CRYBB1
1415,CRYBB2
1417,CRYBB3
1418,CRYGA
1419,CRYGB
1420,CRYGC
1421,CRYGD
1427,CRYGS
1428,CRYM
1429,CRYZ
1431,CS
1432,MAPK14
1434,CSE1L
1435,CSF1
1436,CSF1R
1437,CSF2
1438,CSF2RA
1439,CSF2RB
1440,CSF3
1441,CSF3R
1442,CSH1
1443,CSH2
1444,CSHL1
1445,CSK
1446,CSN1S1
1447,CSN2
1448,CSN3
1452,CSNK1A1
1453,CSNK1D
1454,CSNK1E
1455,CSNK1G2
1456,CSNK1G3
1457,CSNK2A1
1459,CSNK2A2
1460,CSNK2B
1462,VCAN
1463,NCAN
1464,CSPG4
1465,CSRP1
1466,CSRP2
1468,SLC25A10
1469,CST1
1470,CST2
1471,CST3
1472,CST4
1473,CST5
1474,CST6
1475,CSTA
1476,CSTB
1477,CSTF1
1478,CSTF2
1479,CSTF3
1482,NKX2-5
1485,CTAG1B
1486,CTBS
1487,CTBP1
1488,CTBP2
1489,CTF1
1490,CTGF
1491,CTH
1493,CTLA4
1495,CTNNA1
1496,CTNNA2
1497,CTNS
1499,CTNNB1
1500,CTNND1
1501,CTNND2
1503,CTPS1
1504,CTRB1
1506,CTRL
1508,CTSB
1509,CTSD
1510,CTSE
1511,CTSG
1512,CTSH
1513,CTSK
1514,CTSL
1515,CTSV
1519,CTSO
1520,CTSS
1521,CTSW
1522,CTSZ
1523,CUX1
1524,CX3CR1
1525,CXADR
1527,TEX28
1528,CYB5A
1534,CYB561
1535,CYBA
1536,CYBB
1537,CYC1
1538,CYLC1
1539,CYLC2
1540,CYLD
1543,CYP1A1
1544,CYP1A2
1545,CYP1B1
1548,CYP2A6
1549,CYP2A7
1551,CYP3A7
1553,CYP2A13
1555,CYP2B6
1557,CYP2C19
1558,CYP2C8
1559,CYP2C9
1562,CYP2C18
1564,CYP2D7
1565,CYP2D6
1571,CYP2E1
1572,CYP2F1
1573,CYP2J2
1576,CYP3A4
1577,CYP3A5
1579,CYP4A11
1580,CYP4B1
1581,CYP7A1
1582,CYP8B1
1583,CYP11A1
1584,CYP11B1
1585,CYP11B2
1586,CYP17A1
1588,CYP19A1
1589,CYP21A2
1591,CYP24A1
1592,CYP26A1
1593,CYP27A1
1594,CYP27B1
1595,CYP51A1
1600,DAB1
1601,DAB2
1602,DACH1
1603,DAD1
1604,CD55
1605,DAG1
1606,DGKA
1607,DGKB
1608,DGKG
1609,DGKQ
1610,DAO
1611,DAP
1612,DAPK1
1613,DAPK3
1615,DARS
1616,DAXX
1617,DAZ1
1618,DAZL
1620,BRINP1
1621,DBH
1622,DBI
1627,DBN1
1628,DBP
1629,DBT
1630,DCC
1632,ECI1
1633,DCK
1634,DCN
1635,DCTD
1636,ACE
1638,DCT
1639,DCTN1
1641,DCX
1642,DDB1
1643,DDB2
1644,DDC
1645,AKR1C1
1646,AKR1C2
1647,GADD45A
1649,DDIT3
1650,DDOST
1652,DDT
1653,DDX1
1654,DDX3X
1655,DDX5
1656,DDX6
1657,DMXL1
1659,DHX8
1660,DHX9
1662,DDX10
1663,DDX11
1665,DHX15
1666,DECR1
1667,DEFA1
1668,DEFA3
1669,DEFA4
1670,DEFA5
1671,DEFA6
1672,DEFB1
1673,DEFB4A
1674,DES
1675,CFD
1676,DFFA
1677,DFFB
1678,TIMM8A
1687,GSDME
1690,COCH
1716,DGUOK
1717,DHCR7
1718,DHCR24
1719,DHFR
1723,DHODH
1725,DHPS
1727,CYB5R3
1728,NQO1
1729,DIAPH1
1730,DIAPH2
1731,SEPT1
1733,DIO1
1734,DIO2
1735,DIO3
1736,DKC1
1737,DLAT
1738,DLD
1739,DLG1
1740,DLG2
1741,DLG3
1742,DLG4
1743,DLST
1745,DLX1
1746,DLX2
1747,DLX3
1748,DLX4
1749,DLX5
1750,DLX6
1755,DMBT1
1756,DMD
1757,SARDH
1758,DMP1
1759,DNM1
1760,DMPK
1761,DMRT1
1762,DMWD
1763,DNA2
1767,DNAH5
1768,DNAH6
1769,DNAH8
1770,DNAH9
1773,DNASE1
1774,DNASE1L1
1775,DNASE1L2
1776,DNASE1L3
1777,DNASE2
1778,DYNC1H1
1780,DYNC1I1
1781,DYNC1I2
1783,DYNC1LI2
1785,DNM2
1786,DNMT1
1787,TRDMT1
1788,DNMT3A
1789,DNMT3B
1791,DNTT
1793,DOCK1
1794,DOCK2
1795,DOCK3
1796,DOK1
1797,DXO
1798,DPAGT1
1800,DPEP1
1801,DPH1
1802,DPH2
1803,DPP4
1804,DPP6
1805,DPT
1806,DPYD
1807,DPYS
1808,DPYSL2
1809,DPYSL3
1810,DR1
1811,SLC26A3
1812,DRD1
1813,DRD2
1814,DRD3
1815,DRD4
1816,DRD5
1819,DRG2
1820,ARID3A
1821,DRP2
1822,ATN1
1823,DSC1
1824,DSC2
1825,DSC3
1826,DSCAM
1827,RCAN1
1828,DSG1
1829,DSG2
1830,DSG3
1831,TSC22D3
1832,DSP
1833,EPYC
1834,DSPP
1836,SLC26A2
1837,DTNA
1838,DTNB
1839,HBEGF
1840,DTX1
1841,DTYMK
1842,ECM2
1843,DUSP1
1844,DUSP2
1845,DUSP3
1846,DUSP4
1847,DUSP5
1848,DUSP6
1849,DUSP7
1850,DUSP8
1852,DUSP9
1854,DUT
1855,DVL1
1856,DVL2
1857,DVL3
1859,DYRK1A
1861,TOR1A
1869,E2F1
1870,E2F2
1871,E2F3
1874,E2F4
1875,E2F5
1876,E2F6
1877,E4F1
1879,EBF1
1880,GPR183
1889,ECE1
1890,TYMP
1891,ECH1
1892,ECHS1
1893,ECM1
1894,ECT2
1896,EDA
1901,S1PR1
1902,LPAR1
1903,S1PR3
1906,EDN1
1907,EDN2
1908,EDN3
1909,EDNRA
1910,EDNRB
1911,PHC1
1912,PHC2
1915,EEF1A1
1917,EEF1A2
1933,EEF1B2
1936,EEF1D
1937,EEF1G
1938,EEF2
1939,EIF2D
1942,EFNA1
1943,EFNA2
1944,EFNA3
1945,EFNA4
1946,EFNA5
1947,EFNB1
1948,EFNB2
1949,EFNB3
1950,EGF
1951,CELSR3
1952,CELSR2
1953,MEGF6
1954,MEGF8
1955,MEGF9
1956,EGFR
1958,EGR1
1959,EGR2
1960,EGR3
1961,EGR4
1962,EHHADH
1964,EIF1AX
1965,EIF2S1
1967,EIF2B1
1968,EIF2S3
1969,EPHA2
1973,EIF4A1
1974,EIF4A2
1975,EIF4B
1977,EIF4E
1978,EIF4EBP1
1979,EIF4EBP2
1981,EIF4G1
1982,EIF4G2
1983,EIF5
1984,EIF5A
1990,CELA1
1991,ELANE
1992,SERPINB1
1993,ELAVL2
1994,ELAVL1
1995,ELAVL3
1996,ELAVL4
1997,ELF1
1998,ELF2
1999,ELF3
2000,ELF4
2001,ELF5
2002,ELK1
2004,ELK3
2005,ELK4
2006,ELN
2009,EML1
2010,EMD
2011,MARK2
2012,EMP1
2013,EMP2
2014,EMP3
2015,ADGRE1
2016,EMX1
2017,CTTN
2018,EMX2
2019,EN1
2020,EN2
2021,ENDOG
2022,ENG
2023,ENO1
2026,ENO2
2027,ENO3
2028,ENPEP
2029,ENSA
2030,SLC29A1
2033,EP300
2034,EPAS1
2035,EPB41
2036,EPB41L1
2037,EPB41L2
2038,EPB42
2039,DMTN
2040,STOM
2041,EPHA1
2042,EPHA3
2043,EPHA4
2044,EPHA5
2045,EPHA7
2046,EPHA8
2047,EPHB1
2048,EPHB2
2049,EPHB3
2050,EPHB4
2051,EPHB6
2052,EPHX1
2053,EPHX2
2054,STX2
2055,CLN8
2056,EPO
2057,EPOR
2058,EPRS
2059,EPS8
2060,EPS15
2063,NR2F6
2064,ERBB2
2065,ERBB3
2066,ERBB4
2067,ERCC1
2068,ERCC2
2069,EREG
2070,EYA4
2071,ERCC3
2072,ERCC4
2073,ERCC5
2074,ERCC6
2077,ERF
2078,ERG
2079,ERH
2081,ERN1
2086,ERV3-1
2091,FBL
2098,ESD
2099,ESR1
2100,ESR2
2101,ESRRA
2103,ESRRB
2104,ESRRG
2107,ETF1
2108,ETFA
2109,ETFB
2110,ETFDH
2113,ETS1
2114,ETS2
2115,ETV1
2116,ETV2
2117,ETV3
2118,ETV4
2119,ETV5
2120,ETV6
2121,EVC
2122,MECOM
2123,EVI2A
2124,EVI2B
2125,EVPL
2128,EVX1
2130,EWSR1
2131,EXT1
2132,EXT2
2134,EXTL1
2135,EXTL2
2137,EXTL3
2138,EYA1
2139,EYA2
2140,EYA3
2145,EZH1
2146,EZH2
2147,F2
2149,F2R
2150,F2RL1
2151,F2RL2
2152,F3
2153,F5
2155,F7
2157,F8
2158,F9
2159,F10
2160,F11
2161,F12
2162,F13A1
2165,F13B
2166,FAAH
2167,FABP4
2168,FABP1
2169,FABP2
2170,FABP3
2171,FABP5
2172,FABP6
2173,FABP7
2175,FANCA
2176,FANCC
2177,FANCD2
2178,FANCE
2180,ACSL1
2181,ACSL3
2182,ACSL4
2184,FAH
2185,PTK2B
2186,BPTF
2187,FANCB
2188,FANCF
2189,FANCG
2191,FAP
2192,FBLN1
2193,FARSA
2194,FASN
2195,FAT1
2196,FAT2
2197,FAU
2199,FBLN2
2200,FBN1
2201,FBN2
2202,EFEMP1
2203,FBP1
2204,FCAR
2205,FCER1A
2206,MS4A2
2207,FCER1G
2208,FCER2
2209,FCGR1A
2210,FCGR1B
2212,FCGR2A
2213,FCGR2B
2214,FCGR3A
2215,FCGR3B
2217,FCGRT
2218,FKTN
2219,FCN1
2220,FCN2
2222,FDFT1
2224,FDPS
2230,FDX1
2232,FDXR
2235,FECH
2237,FEN1
2239,GPC4
2241,FER
2242,FES
2243,FGA
2244,FGB
2245,FGD1
2246,FGF1
2247,FGF2
2248,FGF3
2249,FGF4
2250,FGF5
2251,FGF6
2252,FGF7
2253,FGF8
2254,FGF9
2255,FGF10
2256,FGF11
2257,FGF12
2258,FGF13
2259,FGF14
2260,FGFR1
2261,FGFR3
2262,GPC5
2263,FGFR2
2264,FGFR4
2266,FGG
2267,FGL1
2268,FGR
2271,FH
2272,FHIT
2273,FHL1
2274,FHL2
2275,FHL3
2277,VEGFD
2280,FKBP1A
2281,FKBP1B
2286,FKBP2
2287,FKBP3
2288,FKBP4
2289,FKBP5
2290,FOXG1
2294,FOXF1
2295,FOXF2
2296,FOXC1
2297,FOXD1
2298,FOXD4
2299,FOXI1
2300,FOXL1
2301,FOXE3
2302,FOXJ1
2303,FOXC2
2304,FOXE1
2305,FOXM1
2306,FOXD2
2307,FOXS1
2308,FOXO1
2309,FOXO3
2312,FLG
2313,FLI1
2314,FLII
2315,MLANA
2316,FLNA
2317,FLNB
2318,FLNC
2319,FLOT2
2321,FLT1
2322,FLT3
2323,FLT3LG
2324,FLT4
2326,FMO1
2327,FMO2
2328,FMO3
2329,FMO4
2330,FMO5
2331,FMOD
2332,FMR1
2334,AFF2
2335,FN1
2339,FNTA
2342,FNTB
2346,FOLH1
2348,FOLR1
2350,FOLR2
2352,FOLR3
2353,FOS
2354,FOSB
2355,FOSL2
2356,FPGS
2357,FPR1
2358,FPR2
2359,FPR3
2395,FXN
2444,FRK
2475,MTOR
2483,FRG1
2487,FRZB
2488,FSHB
2491,CENPI
2492,FSHR
2494,NR5A2
2495,FTH1
2512,FTL
2515,ADAM2
2516,NR5A1
2517,FUCA1
2519,FUCA2
2520,GAST
2521,FUS
2523,FUT1
2524,FUT2
2525,FUT3
2526,FUT4
2527,FUT5
2528,FUT6
2529,FUT7
2530,FUT8
2531,KDSR
2532,ACKR1
2533,FYB1
2534,FYN
2535,FZD2
2537,IFI6
2538,G6PC
2539,G6PD
2542,SLC37A4
2543,GAGE1
2547,XRCC6
2548,GAA
2549,GAB1
2550,GABBR1
2551,GABPA
2553,GABPB1
2554,GABRA1
2555,GABRA2
2556,GABRA3
2557,GABRA4
2558,GABRA5
2559,GABRA6
2560,GABRB1
2561,GABRB2
2562,GABRB3
2563,GABRD
2564,GABRE
2565,GABRG1
2566,GABRG2
2567,GABRG3
2568,GABRP
2569,GABRR1
2570,GABRR2
2571,GAD1
2572,GAD2
2574,GAGE2C
2580,GAK
2581,GALC
2582,GALE
2583,B4GALNT1
2584,GALK1
2585,GALK2
2587,GALR1
2588,GALNS
2589,GALNT1
2590,GALNT2
2591,GALNT3
2592,GALT
2593,GAMT
2595,GANC
2596,GAP43
2597,GAPDH
2615,LRRC32
2617,GARS
2618,GART
2619,GAS1
2620,GAS2
2621,GAS6
2622,GAS8
2623,GATA1
2624,GATA2
2625,GATA3
2626,GATA4
2627,GATA6
2628,GATM
2629,GBA
2631,NIPSNAP2
2632,GBE1
2633,GBP1
2634,GBP2
2635,GBP3
2636,GBX1
2637,GBX2
2638,GC
